id,item_picture_src,item_name,item_short_description,item_description,languages,translations
100000,,AGAR AGAR,A gelatinous setting agent used widely in Asian desserts,Agar agar is a jelly like substance that is extracted from red algae. Agar agar is used as a base for many Asian sweets and desserts. Agar agar is sold in powder form or in long strips or bricks. It dissolves in boiling water and can absorb up to 20 times its own weight. It is used in Asia instead of gelatin and is superior because dishes made with it do not need refrigeration to remain firm and set.,['Japanese'],['kanten']
100001,https://www.uwajimaya.com/static/ee_images/made/9652ad0502bee433/azuki_200_200.png,ANKO,Sweet azuki bean paste used in various Asian desserts,"Anko is a sweet, dark brown paste that is made by mashing boiled azuki beans (see ""azuki"") and sugar. Anko may be enjoyed plain or as a filling for Asian confections such as Chinese mooncakes or Japanese dorayaki.",['English'],['sweet red bean paste']
100002,https://www.uwajimaya.com/static/ee_images/made/af128afdcd134865/Annatto_Seed_600_600_200_200.png,ANNATTO SEED,A seed from the achiote tree primarily used for it's color.,"Originally from Central and South America, annatto seeds grow on the achiote tree. The Spanish were the first Europeans to discover these seeds after establishing colonies in these native growing regions, and from there introduced them to their Asian colonies like the Philippines. Over the generations, other Asian cuisines discovered their uses.",[],[]
100003,https://www.uwajimaya.com/static/ee_images/made/9652ad0502bee433/nashi_200_200.png,ASIAN PEAR,Fruit native to Asia that is crisper than traditional pears,"The crisp, juicy white flesh of Asian pears makes them a popular fruit. The skin of the Asian pears vary from pale yellow to brown and are often known by their varietal name, nijisseiki (20th century) and Ya Li being two popular varieties.","['Japanese', 'English']","['Nashi', '20th Century Pear']"
100004,,ATKA MACKERAL,"Atka mackerel, or hokke in Japanese, are caught the cold waters of Northern Japan.","Caught in the cold winters of northern Japan, the atka mackerel spoils quickly due to its high fat content. Filleted fish are sold dried, salted or frozen and are delicious broiled. Atka mackerel is also popular served simmered.                                                            ",['Japanese'],['Hokke']
100005,https://www.uwajimaya.com/static/ee_images/made/9652ad0502bee433/azuki_200_200.png,AZUKI,The azuki bean is usually sweetened to be used in Asian desserts such as taiyaki or mooncakes,"These small, deep red colored beans have a distinctive boxy shape and white ridge along one side. Azuki beans are common to China, Japan and Korea. Boiled azuki beans are mixed with sugar to make a sweet bean paste that is used in desserts and the sweet soup shiruko. Azuki beans are also boiled with rice to make the Japanese dish sekihan.","['Japanese', 'Chinese', 'Korean', 'Vietnamese']","['Azuki, Adzuki', 'Hongdou, Chidou', 'Hangul', 'Dau do']"
100006,https://www.uwajimaya.com/static/ee_images/made/af128afdcd134865/Baby_Corn_600_600_200_200.png,BABY CORN,"Baby corn are attractive, instantly edible little ears of corn commonly found in salads and stir-fry dishes.","Baby corn are exactly what they sound like: little, cute, bite-sized ears of corn. You’ve probably had them before in salads and stir-fries.",[],[]
100007,https://www.uwajimaya.com/static/ee_images/made/af128afdcd134865/Bamboo_Grass_600_600_200_200.png,BAMBOO GRASS,"One of the most popular sansai vegetables (mountain vegetables), bamboo grass is the young shoot of the nemagari-take bamboo.","Bamboo grass is a culinary name for the young shoots of bamboo. Harvested while still quite small — about the size of an asparagus spear — this ingredient is used in cuisines all across Asia, from the Himalayas to Indonesia to Korea. In Japan, it’s a popular sansai or “mountain vegetable.”",['Japanese'],"['sasa, nemagari-take']"
100008,https://www.uwajimaya.com/static/ee_images/made/9652ad0502bee433/takenoko_200_200.png,BAMBOO SHOOTS,The young growth on a bamboo plant that is used in soups and stir-fries,"Bamboo shoots come fresh in water appearing in the late spring. They are the young growth on a bamboo plant and are conical in shape and yellow in color. Bamboo shoots add a wonderful, crunchy texture to many Asian dishes, particularly the cuisine of Beijing, and Shanghai. They must be parboiled before eaten to remove bitterness. Bamboo shoots can be found in soups and stir-fries or shredded in a salad. Canned bamboo shoots can be found year-round.","['Japanese', 'Chinese', 'Vietnamese']","['takenoko', 'chuk sun', 'mang']"
100009,https://www.uwajimaya.com/static/ee_images/made/af128afdcd134865/Banana_Flower_600_600_200_200.png,BANANA BLOSSOM,"Common to Southeast Asian cuisine, the unopened blossoms are sold whole and used like a vegetable in southeast Asian cooking.","While you might not be very familiar with banana blossoms depending on your culinary background, they’re an ingredient that Southeast Asian cuisines have taught us to be delicious!","['English', 'Burmese', 'Indonesian', 'Filipino', 'Thai']","['banana blossom', 'ngapyaw phoo', 'jantung pisang', 'puso no saging', 'dok kluai']"
