index,recipe_name,recipe_pic,ingredients_n_preparation
100000,Hijiki Barley Pilaf,,"[<selenium.webdriver.remote.webelement.WebElement (session=""2fdcba45138fb23a43ba4cd6002f482c"", element=""c94d7b03-ae62-4e7a-9dd7-ccf5b524608d"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2fdcba45138fb23a43ba4cd6002f482c"", element=""b88c7471-9cd5-483b-9cc0-b471dee91ff4"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2fdcba45138fb23a43ba4cd6002f482c"", element=""a72f5f1d-cb3d-4410-a5a9-252aa7f7cbf1"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2fdcba45138fb23a43ba4cd6002f482c"", element=""bc7ceaa1-d73b-49e6-8557-2c18da3d2fae"")>]"
100000,Sake Steamed Halibut and Manila Clams with Yellow Bean Sauce,https://www.uwajimaya.com/static/ee_images/made/a18db6a564d09063/Uwajimaya_-_Sake_Steamed_Halibut_and_Clams_with_Yellow_Bean_Sauce_-_Taichi_Kitamura_601_400_90.jpg,"[<selenium.webdriver.remote.webelement.WebElement (session=""2fdcba45138fb23a43ba4cd6002f482c"", element=""1db6dbff-bc45-4e9a-bd94-a048a50b0f5a"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2fdcba45138fb23a43ba4cd6002f482c"", element=""0b2de4ec-17f5-4a3f-9f67-6087d03c0241"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2fdcba45138fb23a43ba4cd6002f482c"", element=""141d613c-96d7-4cb0-a379-82b65b43c4d5"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2fdcba45138fb23a43ba4cd6002f482c"", element=""028fc024-2187-4e96-ae9a-78d66b7a7bfb"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2fdcba45138fb23a43ba4cd6002f482c"", element=""25f9b671-a4c7-4890-8267-af32ed431cb8"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2fdcba45138fb23a43ba4cd6002f482c"", element=""dda59080-177e-4571-ab9e-ceb5ea01d30f"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2fdcba45138fb23a43ba4cd6002f482c"", element=""1073cadc-db51-43b3-a93b-367ac88d3701"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2fdcba45138fb23a43ba4cd6002f482c"", element=""5450e731-3b23-4b60-b41b-e72883608ad0"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2fdcba45138fb23a43ba4cd6002f482c"", element=""cb1317cd-5869-4960-87d1-f131fa7792c3"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2fdcba45138fb23a43ba4cd6002f482c"", element=""2b1f3027-6c25-487d-8365-1a9a1943bb80"")>]"
100000,Japanese Asparagus Salad,https://www.uwajimaya.com/static/ee_images/made/a18db6a564d09063/Screenshot_(127)_303_400.png,"[<selenium.webdriver.remote.webelement.WebElement (session=""2fdcba45138fb23a43ba4cd6002f482c"", element=""ed40bd47-3176-483c-b73c-3d104bc1f200"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2fdcba45138fb23a43ba4cd6002f482c"", element=""75ca34a3-db49-4287-aa42-030d54318510"")>]"
100000,Curry Chicken Skewers With Toasted Coconut,https://www.uwajimaya.com/static/ee_images/made/af128afdcd134865/Screenshot_(35)_522_400.png,"[<selenium.webdriver.remote.webelement.WebElement (session=""2fdcba45138fb23a43ba4cd6002f482c"", element=""ad5177aa-346d-4aec-b007-d5643c3b345e"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2fdcba45138fb23a43ba4cd6002f482c"", element=""3c71485f-12a9-46b0-857e-4fa620072945"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2fdcba45138fb23a43ba4cd6002f482c"", element=""8710e972-c051-4f8d-b653-68c0af79b880"")>]"
100000,Sawani Bowl (Veggie-Filled Soup),,"[<selenium.webdriver.remote.webelement.WebElement (session=""2fdcba45138fb23a43ba4cd6002f482c"", element=""3fa51493-d3b7-4e37-8ee7-6d671bb56211"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2fdcba45138fb23a43ba4cd6002f482c"", element=""fa65e975-f33d-4bb4-b31a-29856728ca1d"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2fdcba45138fb23a43ba4cd6002f482c"", element=""d5f277f0-fb66-4e02-bd5d-2bbf194033c3"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2fdcba45138fb23a43ba4cd6002f482c"", element=""3cbc5d06-5673-42f8-b35a-9cd87078299d"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2fdcba45138fb23a43ba4cd6002f482c"", element=""897ff4a6-b834-4b5f-b056-ae16b476345d"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2fdcba45138fb23a43ba4cd6002f482c"", element=""6c1ff085-88aa-4cf9-978c-6889d4b94923"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2fdcba45138fb23a43ba4cd6002f482c"", element=""9076824f-ac72-4d42-8455-5e43f8dddf5c"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2fdcba45138fb23a43ba4cd6002f482c"", element=""cf4dee96-c519-4aee-8e55-1de5fe823385"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2fdcba45138fb23a43ba4cd6002f482c"", element=""e8a8c4a3-09a6-4562-a579-ba19fb3c1db3"")>]"
100000,Pork Inihao,,"[<selenium.webdriver.remote.webelement.WebElement (session=""2fdcba45138fb23a43ba4cd6002f482c"", element=""5a431e20-70e0-4b7a-b729-e52fe8ff55ef"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2fdcba45138fb23a43ba4cd6002f482c"", element=""a069362a-68c2-41dc-8df8-c0871a5b6cae"")>]"
100000,Naw Mai Fan,,"[<selenium.webdriver.remote.webelement.WebElement (session=""2fdcba45138fb23a43ba4cd6002f482c"", element=""23148a9c-3321-4ef8-b2bd-49378f2ab786"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2fdcba45138fb23a43ba4cd6002f482c"", element=""d06fce52-94f9-48b5-8a92-4dc62c622bd1"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2fdcba45138fb23a43ba4cd6002f482c"", element=""43ed4b9c-65bd-4f42-aa01-ad231773fbb0"")>]"
100000,Pork Stir-Fry with Kimch’i,,"[<selenium.webdriver.remote.webelement.WebElement (session=""2fdcba45138fb23a43ba4cd6002f482c"", element=""37d6dfa7-5744-43ed-98d7-12963af4f670"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2fdcba45138fb23a43ba4cd6002f482c"", element=""23ebc598-36c0-4a69-bb9c-670c704aa44f"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2fdcba45138fb23a43ba4cd6002f482c"", element=""9ffb89db-7508-4379-aa48-206d380e80c6"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2fdcba45138fb23a43ba4cd6002f482c"", element=""bd2f309f-1e9d-4119-b7d6-0e69718cee2d"")>]"
100000,Teriyaki Marinade,,"[<selenium.webdriver.remote.webelement.WebElement (session=""2fdcba45138fb23a43ba4cd6002f482c"", element=""5966a097-5943-4220-9093-4aa8cf753825"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2fdcba45138fb23a43ba4cd6002f482c"", element=""77f9a77c-311e-4c67-9f83-65195cacf424"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2fdcba45138fb23a43ba4cd6002f482c"", element=""794a56e4-51cc-439b-91f6-e2fc160d2dc7"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2fdcba45138fb23a43ba4cd6002f482c"", element=""3d0d37be-ac9d-4fb2-92ff-b48ea6067ea7"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2fdcba45138fb23a43ba4cd6002f482c"", element=""cc42f5cc-1d43-4d2e-83d0-f0cd5d3480d9"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2fdcba45138fb23a43ba4cd6002f482c"", element=""f93c0a6f-cd29-4491-bf92-4e7de4b54d68"")>]"
100000,Ponzu,https://www.uwajimaya.com/static/ee_images/made/af128afdcd134865/Ponzu_600_400_90.jpg,"[<selenium.webdriver.remote.webelement.WebElement (session=""2fdcba45138fb23a43ba4cd6002f482c"", element=""4bdf1523-6938-4ad0-b4bb-2dd1ec6fc280"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2fdcba45138fb23a43ba4cd6002f482c"", element=""99192226-0665-4167-9e74-e2feac63a27e"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2fdcba45138fb23a43ba4cd6002f482c"", element=""4949fcaa-5970-4a69-b2af-707193077a6a"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2fdcba45138fb23a43ba4cd6002f482c"", element=""82ebf312-e60e-45ec-8a20-95da8dd9084b"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2fdcba45138fb23a43ba4cd6002f482c"", element=""8d91ff6b-25a2-4fe6-b2cd-139c734711ac"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2fdcba45138fb23a43ba4cd6002f482c"", element=""7b9e7baf-bd33-4eee-b6a8-c9a73751212c"")>]"
